id,description,mfg,mfg_id,category_id
100553,1 Ohm 30W ±1%,Riedon,FPR2-T218 1.000 Ohm ±1%,1
100554,1 Ohm 5W ±5%,Stackpole Electronics Inc,HPC 12 1 ±5% R,1
100555,1 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-1.00-1%,1
100556,1 Ohm 80W ±1% FOIL,Riedon,FNR 2-T227 1 Ohm ±1% 15PPM,1
100557,1K Ohm 1W CARB COMP,Ohmite,OA102KE,1
100558,1.1K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB112V,1
100559,1.1K Ohm 1/4W ±5%,ROHM Semiconductor,MCR18EZPJ112,1
100560,1.24M Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1244,1
100561,1.20K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1201,1
100562,1.33M Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1334,1
100563,1.33M Ohm 1/8W ±1%,Yageo Corporation,9C08052A1334FKHFT,1
100564,1.40K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1401,1
100565,1.5K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1501,1
100566,1.5K Ohm ±5% ANTI-SURGE,Panasonic - ECG,ERJ-P14J152U,1
100567,1.8K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB182V,1
100568,1.8K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1801,1
100569,10 Ohm 1/4W ±0.1%,"Bourns, Inc.",CRT1206-BY-10R0ELF,1
100570,10 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF10R0,1
100571,10 Ohm 1/4W ±1% METAL FILM,Panasonic - ECG,ERO-S2PHF10R0,1
100572,10 Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF10R0U,1
100573,10 Ohm 1W CARB COMP,Ohmite,OA100KE,1
100574,10 Ohm 30W ±1%,Riedon,FPR2-T218 10.000 Ohm ±1%,1
100575,10 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-10.0-1%,1
100576,100 Ohm 1/4W ±0.1%,Susumu Co Ltd,RGH2012-2E-P-101-B,1
100577,100 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1000,1
100578,100 Ohm 10W ±1% SILICONE WW,Vishay/Dale,RS010100R0FE73,1
100579,100 Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF1000U,1
100580,100 Ohm 1W CARB COMP,Ohmite,OA101KE,1
100581,100 Ohm 5W SILICONE,Huntington Electric Inc.,ALSR-5-100-1%,1
100582,100 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-100-1%,1
100583,1000M Ohm 1W ±1% THICK FILM,Ohmite,SM102031007F,1
100584,100K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB104V,1
100585,100K Ohm 1/4W ±0.1%,Vishay/Dale,TNPW1206100KBEEA,1
100586,100K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1003,1
100587,100K Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF1003U,1
100588,100K Ohm 1W ±5% METAL OXIDE,Huntington Electric Inc.,RSF100JB-100K,1
100589,100K Ohm 1W CARB COMP,Ohmite,OA104KE,1
100590,100K Ohm RES NET 9P 4RES SMD,Vishay/Thin FIlm,ORNTA1003AT1,1
100591,100M Ohm 1W ±1%,Ohmite,SM102031006F,1
100592,10K POT DIGITAL DUAL,Dallas Semiconductor,DS1868S-10+,1
100593,10K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB103V,1
100594,10K Ohm 1/10W ±1%,Panasonic - ECG,ERJ-3EKF1002V,1
100595,10K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1002,1
100596,10K Ohm 1W ±1%,Vishay/Dale,CRCW251210K0FKEG,1
100597,10K Ohm 5W SILICONE,Huntington Electric Inc.,ALSR-5-10.0K-1%,1
100598,10K Ohm 100mW ±0.1% QUAD NET PREC,Vishay/Thin FIlm,ORNTA1002AT1,1
100599,10M Ohm 1W ±1% THICK FILM,Ohmite,SM102031005F,1
100600,10M Ohm 1/4W ±1%,Vishay/Dale,CRCW120610M0FKEA,1
100601,11.3K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1132,1
100602,110K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1103,1
100603,11K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB113V,1
100604,11K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1102,1
100605,12 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-12.0-1%,1
100606,120 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1200,1
100607,120 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-120-1%,1
100608,124 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1240,1
100609,124K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1243,1
100610,127K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1273,1
100611,12.0K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1202,1
100612,13.7K Ohm 1/8W ±1%,Yageo Corporation,RC0805FR-0713K7L,1
100613,130 Ohm 1/10W ±1%,ROHM Semiconductor,MCR03EZPFX1300,1
100614,13K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1302,1
100615,143 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1430,1
100616,14K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1402,1
100617,15 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF15R0,1
100618,15 Ohm 1/4W ±1% METAL FILM,Panasonic - ECG,ERO-S2PHF15R0,1
100619,15 Ohm 10W ±1% SILICONE WW,Vishay/Dale,RS01015R00FS73,1
100620,15.4K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1542,1
100621,150 Ohm 1/4W ±0.1%,Susumu Co Ltd,RGH2012-2E-P-151-B,1
100622,150 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1500,1
