assembly_id,serial,version,date,category_id,notes
80,34,1.0.1,,53,
27,34,2.0.0,,53,
41,34,4.0.0-2.0.0.2,,53,
52,34,2.91,,53,
63,35,2.2.0-0.0.0.0,2018-09-04,50,
35,35,2.6.3-1.0.0.0,2018-06-26,53,
41,35,4.0.0-2.0.0.1,2018-04-02,53,
41,35,4.0.0-2.0.0.1,2018-04-02,53,
49,35,3.2.0,2018-03-08,49,
46,35,3.1.0,2014-07-18,53,
82,35,5.5.0,2010-11-24,50,
44,35,5.1.2,2010-08-07,50,
88,35,5.1.2,2010-06-04,50,
92,35,6.1.1,2010-06-01,50,
95,35,6.1.0,2009-08-01,50,
27,35,2.0.0,,53,
52,35,2.91,,53,
63,36,2.2.0-0.0.1.0,2019-01-10,50,2kV THM
35,36,2.6.3-1.0.0.0,2018-06-26,53,
41,36,4.0.0-2.0.0.1,2018-04-02,50,
49,36,3.2.0,2018-03-08,49,
46,36,3.1.0,2014-07-18,53,
82,36,5.1.0,2011-03-18,50,
74,36,8.0.4,2011-01-17,50,Ship to Joe
88,36,5.1.4KFET,2010-10-15,50,
44,36,5.1.2,2010-08-03,50,
92,36,6.1.1,2010-07-27,58,"Was taken form bonepile and installed in A-180-063015 for GaN Systems for a while, presently is 51 stock replaced with # 116 08/05/2016"
78,36,3.4.0,,53,
27,36,2.0.0,,53,
95,36,6.1.0,,53,
52,36,2.91,,53,
63,37,2.2.0-0.0.0.0,2019-06-10,49,
41,37,4.0.0-2.0.0.2,2019-03-01,54,
35,37,2.6.3-1.0.0.0,2018-06-26,53,
46,37,3.1.0,2014-07-18,53,
94,37,2.0.0,2013-10-25,50,
80,37,,2012-08-03,53,? Fairchild (ask Samantha)
52,37,2.95.2,2011-04-11,50,
82,37,5.1.0,2010-08-31,50,
44,37,5.1.2,2010-08-13,50,
95,37,6.2.0,2010-05-13,50,
27,37,2.0.0,,53,
88,37,5.1.2,,53,
92,37,6.0.0,,53,
63,38,2.2.0-0.0.0.0,2019-06-17,49,
41,38,4.0.0-2.0.0.2,2019-03-01,49,
35,38,2.6.3-1.0.0.0,2018-06-26,53,
46,38,3.1.0,2015-02-04,53,
94,38,2.0.0,2015-01-11,50,
80,38,,2013-06-13,50,
74,38,8.0.4,2011-01-17,50,Ship to Joe
44,38,5.1.2,2010-08-31,50,
88,38,5.1.4,2010-08-20,50,
92,38,6.1.0,2010-08-09,50,
78,38,4.4.0D,2009-10-23,50,
95,38,6.1.0,2009-08-27,50,
82,38,5.1.1,,53,
27,38,2.0.0,,53,
52,38,2.97.0,,53,
63,39,2.2.0-0.0.0.0,2019-06-17,49,
41,39,4.0.0-2.0.0.2,2019-03-01,50,
35,39,2.6.3-1.0.0.0,2018-06-26,53,
46,39,3.1.0,2015-02-04,53,
82,39,5.5.0,2010-10-18,50,
95,39,5.4.0,2010-05-04,50,
78,39,4.4.0D,2009-11-10,53,
79,39,2.0.0,,53,
